Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,4.990000,5.020000,4.930000,4.940000,4.917023,17868800
2022-12-06,4.930000,4.930000,4.840000,4.870000,4.847349,12124100
2022-12-07,4.830000,4.870000,4.790000,4.820000,4.797582,12609100
2022-12-08,4.790000,4.910000,4.780000,4.900000,4.877209,16289200
2022-12-09,4.930000,4.960000,4.880000,4.890000,4.867256,12798300
2022-12-12,4.880000,4.950000,4.840000,4.930000,4.907070,16219900
2022-12-13,5.100000,5.110000,4.960000,4.990000,4.966790,29738000
2022-12-14,4.960000,5.040000,4.950000,4.990000,4.966790,18442200
2022-12-15,4.930000,4.940000,4.790000,4.790000,4.767721,20198600
2022-12-16,4.650000,4.680000,4.590000,4.630000,4.608465,24790700
2022-12-19,4.650000,4.670000,4.580000,4.600000,4.578604,15722400
2022-12-20,4.580000,4.620000,4.580000,4.580000,4.558698,12170400
2022-12-21,4.600000,4.640000,4.580000,4.640000,4.618418,11778600
2022-12-22,4.600000,4.630000,4.550000,4.610000,4.588558,13842700
2022-12-23,4.600000,4.640000,4.590000,4.640000,4.618418,14380800
2022-12-27,4.620000,4.660000,4.600000,4.620000,4.598511,10887300
2022-12-28,4.600000,4.630000,4.560000,4.560000,4.538791,13125000
2022-12-29,4.610000,4.690000,4.600000,4.680000,4.658232,9429600
2022-12-30,4.630000,4.650000,4.600000,4.640000,4.618418,11280000
2023-01-03,4.680000,4.740000,4.660000,4.690000,4.668186,16376000
2023-01-04,4.790000,4.800000,4.720000,4.730000,4.708000,16084400
2023-01-05,4.720000,4.740000,4.680000,4.690000,4.668186,15254700
2023-01-06,4.710000,4.830000,4.660000,4.830000,4.807535,15913200
2023-01-09,4.880000,4.940000,4.840000,4.840000,4.817488,15697100
2023-01-10,4.860000,4.890000,4.830000,4.870000,4.847349,16100000
2023-01-11,4.930000,4.950000,4.900000,4.940000,4.917023,13610300
2023-01-12,4.960000,5.020000,4.920000,5.020000,4.996651,21659200
2023-01-13,5.000000,5.040000,4.990000,5.030000,5.006605,11614700
2023-01-17,4.900000,4.910000,4.800000,4.820000,4.797582,20603300
2023-01-18,4.880000,4.890000,4.770000,4.780000,4.757768,21832800
2023-01-19,4.740000,4.750000,4.680000,4.680000,4.658232,24123700
2023-01-20,4.590000,4.620000,4.510000,4.610000,4.588558,34211000
2023-01-23,4.620000,4.670000,4.610000,4.630000,4.608465,34445300
2023-01-24,4.570000,4.610000,4.520000,4.550000,4.528837,37969500
2023-01-25,4.590000,4.650000,4.550000,4.630000,4.608465,29042000
2023-01-26,4.780000,4.860000,4.730000,4.810000,4.787628,27243000
2023-01-27,4.770000,4.790000,4.730000,4.730000,4.708000,18593100
2023-01-30,4.750000,4.800000,4.740000,4.740000,4.740000,17922700
2023-01-31,4.680000,4.760000,4.670000,4.760000,4.760000,16825000
2023-02-01,4.740000,4.890000,4.720000,4.860000,4.860000,21421800
2023-02-02,4.890000,4.940000,4.860000,4.920000,4.920000,24020600
2023-02-03,4.830000,4.860000,4.770000,4.790000,4.790000,25555200
2023-02-06,4.720000,4.720000,4.650000,4.670000,4.670000,14072000
2023-02-07,4.630000,4.730000,4.630000,4.700000,4.700000,14989100
2023-02-08,4.710000,4.720000,4.660000,4.680000,4.680000,12058000
2023-02-09,4.720000,4.720000,4.650000,4.670000,4.670000,17858700
2023-02-10,4.630000,4.680000,4.620000,4.660000,4.660000,13373800
2023-02-13,4.630000,4.690000,4.630000,4.680000,4.680000,9235400
2023-02-14,4.670000,4.730000,4.650000,4.670000,4.670000,14331600
2023-02-15,4.670000,4.740000,4.660000,4.730000,4.730000,13305900
2023-02-16,4.710000,4.770000,4.710000,4.730000,4.730000,12438500
2023-02-17,4.720000,4.780000,4.710000,4.770000,4.770000,14197500
2023-02-21,4.730000,4.750000,4.660000,4.670000,4.670000,11667600
2023-02-22,4.680000,4.690000,4.620000,4.650000,4.650000,12835600
2023-02-23,4.690000,4.710000,4.620000,4.650000,4.650000,15513300
2023-02-24,4.600000,4.620000,4.550000,4.580000,4.580000,14452900
2023-02-27,4.680000,4.710000,4.640000,4.670000,4.670000,18983400
2023-02-28,4.630000,4.670000,4.590000,4.600000,4.600000,17313000
2023-03-01,4.660000,4.670000,4.600000,4.600000,4.600000,12521500
2023-03-02,4.600000,4.700000,4.590000,4.680000,4.680000,18506300
2023-03-03,4.810000,4.850000,4.780000,4.820000,4.820000,18665600
